device,introduction date,vendor,peakspflops,peakdpflops,peakmembw (MBps),fab,coreclock,numcores,shaderclock,memsize,memclock,PCIe gen,tdp
c1060,5/2/2010,nvidia,933.12,77.76,102.4,40,602,240,1300,4096,1600,,187.8
c1060,5/1/2010,nvidia,933.12,77.76,102.4,40,602,240,1300,4096,1600,,187.8
c2050noecc,5/2/2010,nvidia,1030,515,144,40,575,448,1150,3072,3000,,247
c2050noecc,5/1/2010,nvidia,1030,515,144,40,575,448,1150,3072,3000,,247
gtx465,5/2/2010,nvidia,855.36,106.9,102.6,40,607,352,1215,1024,1603,,200
gtx465,5/1/2010,nvidia,855.36,106.9,102.6,40,607,352,1215,1024,1603,,200
gtx470,5/2/2010,nvidia,1088,136,133.9,40,607,448,1215,1280,1647,,215
gtx470,5/1/2010,nvidia,1088,136,133.9,40,607,448,1215,1280,1647,,215
gtx480,5/2/2010,nvidia,1344,168,177.4,40,700,480,1401,1536,1848,,250
gtx480,5/1/2010,nvidia,1344,168,177.4,40,700,480,1401,1536,1848,,250
gtx570,5/2/2010,nvidia,1405.4,175.68,152,40,772,480,1464,1280,950,,219
gtx570,5/1/2010,nvidia,1405.4,175.68,152,40,772,480,1464,1280,950,,219
gtx580,5/2/2010,nvidia,1581.1,197.632,192.4,40,772,512,1544,1536,1002,,244
gtx580,5/1/2010,nvidia,1581.1,197.632,192.4,40,772,512,1544,1536,1002,,244
gtx680,5/2/2010,nvidia,3090.4,128.76,192.3,28,1006,1536,1006,4096,1502,,195
gtx680,5/1/2010,nvidia,3090.4,128.76,192.3,28,1006,1536,1006,4096,1502,,195
gtx690,5/2/2010,nvidia,5621.8,234.24,384.5,28,915,3072,915,4096,1502,,300
gtx690,5/1/2010,nvidia,5621.8,234.24,384.5,28,915,3072,915,4096,1502,,300
gtx 980,9/18/2014,nvidia,4612,144,224,28,1126,2048,1126,4096,1753,3,165
hd5670,5/2/2010,amd,620,0,64,40,775,400,775,2048,1000,,64
hd5670,5/1/2010,amd,620,0,64,40,775,400,775,2048,1000,,64
hd5750,5/2/2010,amd,1008,0,73.6,40,700,720,700,1024,1150,,86
hd5750,5/1/2010,amd,1008,0,73.6,40,700,720,700,1024,1150,,86
hd5770,5/2/2010,amd,1360,0,76.8,40,850,800,850,1024,1200,,108
hd5770,5/1/2010,amd,1360,0,76.8,40,850,800,850,1024,1200,,108
hd5850,5/2/2010,amd,2090,418,128,40,725,1440,725,1024,1000,,151
hd5850,5/1/2010,amd,2090,418,128,40,725,1440,725,1024,1000,,151
hd5870,5/2/2010,amd,2720,544,153.6,40,850,1600,850,1024,1200,,188
hd5870,5/1/2010,amd,2720,544,153.6,40,850,1600,850,1024,1200,,188
hd5970,5/2/2010,amd,4640,928,256,40,725,3200,725,2048,1000,,294
hd5970,5/1/2010,amd,4640,928,256,40,725,3200,725,2048,1000,,294
hd7970,5/2/2010,amd,3788,947.2,264,28,925,2048,925,3072,1375,,230
hd7970,5/1/2010,amd,3788,947.2,264,28,925,2048,925,3072,1375,,230
ion,5/2/2010,nvidia,54,0,21,55,450,16,1100,512,1100,,12
ion,5/1/2010,nvidia,54,0,21,55,450,16,1100,512,1100,,12
llano,5/2/2010,amd,480,0,29.9,32,600,400,600,8192,1866,,100
llano,5/1/2010,amd,480,0,29.9,32,600,400,600,8192,1866,,100
trinity,8/19/2014,amd,,,,,,,,,,,
m2070ecc,5/2/2010,nvidia,1030,515,126.72,40,575,448,1150,6114,3132,,247
m2070ecc,5/1/2010,nvidia,1030,515,126.72,40,575,448,1150,6114,3132,,247
m2090,5/2/2010,nvidia,1331,665,177.4,40,650,512,1300,6114,3700,,250
m2090,5/1/2010,nvidia,1331,665,177.4,40,650,512,1300,6114,3700,,250
nehalem,5/2/2010,intel,72.64,36.32,25.6,40,2270,8,0,16384,1066,,80
nehalem,5/1/2010,intel,72.64,36.32,25.6,40,2270,8,0,16384,1066,,80
sb00,5/2/2010,intel,217.6,108.8,21,32,3400,4,850,32768,1333,,95
sb00,5/1/2010,intel,217.6,108.8,21,32,3400,4,850,32768,1333,,95
haswell,6/2/2013,intel,,,25.6,22,3400/3900,4,,16384,1600,3,84
haswell gt2,6/2/2013,intel,,,25.6,22,350/1200,20,,16384,1600,,84
gtxtitan,5/2/2010,nvidia,4500,1500,288.4,28,837,2688,837,6144,1502,,250
jetsontk1,5/1/2010,nvidia,365,,17,28,852,192,852,1746,924,,
K40,2/1/2014,nvidia,4291,1430,288,28,745,2880,745,12228,6000,3,235
gtx750TiSC,2/18/2014,nvidia,1606,50,88,28,1255,640,1255,2048,5400,2,60
w9100,5/1/2010,amd,5420,2620,320,28,930,2816,930,16384,1250,3,275
